dataFrom,date,review,rating,extracted_devresp,devresp_time
googlePlay,20230523T070626142Z,Not working properly,1,Hey Ramadoss We totally understand that your experience hasnt been up to par No worries though Just shoot us an email with your name contact info and a screen recording of what went down when you tried to log in to helpgxscomsg Our team will jump right on it and get things sorted Thanks,20230523T073117900Z
googlePlay,20230522T035525693Z,Unable to use at all,1,Hey Sandy we are sorry to hear that you are facing an issue In order to assist you better please send us an email at helpgxscomsg with your contact information device model and a description or screen screenshot of the issue you are facing Our team will look into it and get back to you as soon as possible  Thank you,20230522T041844125Z
googlePlay,20230512T033103889Z,Good to have the UI updated Only issue now is the 5k max deposit,4,Thank you for your kind words Thomas As part of our banking license conditions we have to adhere to a deposit cap of S50 million in the early phases of our operations As such we have a deposit limit to give more customers access to our simple and seamless savings experience Well let you know once the cap is lifted,20230512T035136902Z
googlePlay,20230510T042927447Z,After few day on decided whether to download the app I decided to went on But the said thing is once Im try to log in the account  but couldnt log on and it said to rest ask to go back to the front page,1,Hi there This is not the experience we want you to have Please drop us an email with your name contact info and a screen recording of what you experienced when you tried to login to helpgxscomsg so that our team can look into this Thank you,20230510T075910344Z
googlePlay,20230507T074646449Z,Hi I try log in with singpass but unsuccessful thanks,5,Hi Joraimi this is not the experience we want you to have Please drop us an email with your name contact info and a screen recording of what you experienced when you tried to login to helpgxscomsg so that our team can look into this Thank you,20230508T011432875Z
googlePlay,20230505T190435580Z, n,5,Hi Lim Clivee Thank you for your 5 stars review We work hard to meet expectations like yours and were happy to hit the mark for you Have a great weekend,20230506T012632405Z
googlePlay,20230504T231343253Z,Gxs Flexiloan doesnt work even though I meet the eligible criteria,5,Hey there Im sorry to hear that  Just to let you know GXS FlexiLoan applications have to go through an evaluation process that meets our internal requirements Were really sorry if we are unable to provide you with a FlexiLoan account at this time,20230427T073016177Z
googlePlay,20230503T050141300Z,Lousy app,1,Sorry that you felt this way about us Eric and we would like to learn more Please drop us a call at our 247 hotline at 3105 2055 and our team would be more than willing to hear you out Thank you,20230503T055748179Z
googlePlay,20230501T102544522Z,Insecure app beware folks I applied using my singpass and instead of reviewing my own details I saw someones details on my screen instead race name DOB employer name on next step etc I was shocked Took a screenshot Incase anyone wanna verify with me,1,Hi Mel we would like to look into this matter Please drop us an email with your name contact details and also the screenshot that you have described above to helpgxscomsg so that we can review it Thank you,20230502T023151663Z
googlePlay,20230501T054654949Z,Update 20230501 issue of display overlay causing screen unresponsiveness has been resolved Update 20230125 Thanks to user E Ls review i rem tt my phone has display overlay addon n this seems to be causing the issue I tried app on my phones 2ndary display dual screen phone n am able to use app Original review  screen is unresponsive regardless whether launched from GXS app or from Grab app,4,Glad to hear that everything has worked out fine Wen Wei Should you have any questions or need clarification you can find us via inapp live chat or drop us a call at our hotline at 3105 2055 Cheers,20230502T024021260Z
googlePlay,20230429T113012680Z,Whats with the Loan Thingy ,1,Hi there TheGhost 2106 This is not the experience we would like you to have with our GXS FlexiLoan Allow us the opportunity to make things better for you Please drop us an email with your name email address and share with us on how we can help you to helpgxscomsg Thank you,20230429T122359272Z
googlePlay,20230427T052329765Z,Lousy High interest rate Not advertise as stated in the media Scam,1,Sorry that you felt this way about the GXS FlexiLoan Adrian We would like to share that the interest rate is offered based on individuals profile Should you have any questions do drop us a call at our 247 hotline at 3105 2055 Thank you,20230427T061221803Z
googlePlay,20230426T015813771Z,Not able to sign up the loan portion using singpass It keep showing logging in for the past 10 minutes,2,Hi CY this is not the experience we would like you to have Please drop us an email with your name email address and a screen recording of what you experienced when you tried to sign up to helpgxscomsg so that we can look into this Thank you,20230426T022056468Z
